brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn
Gucci,dionysus cross bag2,a1136047,12/9/20,1/27/21,4days,BA,Y
Bottega Veneta,foldover top cross bag black,a1129084,11/7/20,1/27/21,4days,BA,Y
Allen.O,layered collar detail dress multi,a1129141,11/7/20,1/27/21,4days,D,Y
Chanel,quilted boy chain bag black,a1144306,1/24/21,1/27/21,7days,BA,Y
Lucky Chouette,check pattern sweater black,a1143236,1/15/21,1/27/21,7days,T,Y
Chanel,mini round cross bag pink,a1126559,10/25/20,1/27/21,4days,BA,Y
Saint Laurent,cabas monogramtote bag black,a1144628,1/27/21,1/27/21,4days,BA,Y
Gucci,logo pointed cross bag black,a1144283,1/24/21,1/27/21,4days,BA,Y
Chanel,small logo quilted cross body bag black,a186156,3/3/20,1/27/21,7days,BA,Y
It michaa,lace flower pattern A-Line dress mint,a1140169,12/28/20,1/27/21,4days,D,Y
Gucci,v neck floral printing dress,a1142352,1/11/21,1/27/21,4days,D,Y
Saint Laurent,chevron quilted cross bag black,a1144656,1/27/21,1/27/21,7days,BA,Y
Saint Laurent,monogram chain wallet bag black,a1127427,10/28/20,1/27/21,7days,BA,Y
Thom Browne,slit stripe pattern wool top grey,a1141794,1/9/21,1/27/21,7days,T,Y
Dolce & Gabbana,slime line single coat black,a1144543,1/26/21,1/27/21,7days,O,Y
Vunque,toque tote M black,a181152,2/9/20,1/27/21,4days,BA,Y
Maje,button basic pattern H-Line knit-dress beige,a1142470,1/12/21,1/27/21,4days,D,Y
Jill Stuart,trimming pointed tweed dress,a1138988,12/21/20,1/27/21,4days,D,Y
Celine,luggage bag black,a1144203,1/23/21,1/26/21,7days,BA,Y
Salvatore Ferragamo,vara leather cross bag black,a1144228,1/23/21,1/26/21,4days,BA,Y
Egoist,flower pattern A-Line dress multi,a1144219,1/23/21,1/26/21,7days,D,Y
Gucci,mamont bucket bag ivory,a1144564,1/26/21,1/26/21,4days,BA,Y
Johnny Hates Jazz,two button shirt dress,a1144356,1/24/21,1/26/21,4days,D,Y
Christian Dior,silver detailed cross bag black,a1111676,8/14/20,1/26/21,4days,BA,Y
Moschino,embroidery printing pattern wool sweater blue,a1144318,1/24/21,1/26/21,4days,T,Y
Sandro,pocket basic pattern wide-pants navy,a1143880,1/20/21,1/26/21,4days,B,Y
Burberry,button basic pattern wool coat brown,a1143880,1/20/21,1/26/21,4days,O,Y
Ami,pocket basic pattern hoodie grey,a1144550,1/26/21,1/26/21,7days,T,Y
Diane von Furstenberg,lace long sleeve wrap dress,a1144535,1/26/21,1/26/21,7days,D,Y
